ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Brands,Meta: _eael_post_view_count,Meta: _wp_page_template,Meta: anarkali_loop_product_slider_speed,Meta: anarkali_showcase_type,Meta: anarkali_showcase_bg_type,Meta: anarkali_showcase_custom_bgcolor,Meta: anarkali_showcase_custom_textcolor,Meta: anarkali_badge_color,Meta: anarkali_product_extra_fatures,Meta: anarkali_custom_badge,Meta: anarkali_product_size_guide,Meta: anarkali_countdown_date,Meta: anarkali_countdown_text,Meta: anarkali_product_video_type,Meta: anarkali_product_video_source_type,Meta: anarkali_product_popup_video,Meta: anarkali_product_iframe_video,Meta: anarkali_product_video_preview,Meta: anarkali_product_video_on_shop,Meta: anarkali_tabs_title,Meta: anarkali_tabs_content,Meta: anarkali_product_header_type,Meta: anarkali_product_header_bgcolor,Meta: anarkali_product_header_menuitem_color,Meta: anarkali_product_header_menuitem_hvrcolor,Meta: anarkali_product_header_svgicon_color,Meta: anarkali_product_header_counter_bgcolor,Meta: anarkali_product_header_counter_color,Meta: anarkali_product_sticky_header_bgcolor,Meta: anarkali_product_sticky_header_menuitem_color,Meta: anarkali_product_sticky_header_menuitem_hvrcolor,Meta: anarkali_product_sticky_header_svgicon_color,Meta: anarkali_product_sticky_header_counter_bgcolor,Meta: anarkali_product_sticky_header_counter_color,Meta: _product_360_image_gallery
,simple,GG-112,,Graceful Pastel Pink Linen Cotton Saree with Multicolor Floral Prints & Green Tassel Border,1,0,visible,"Embrace soft elegance with this pastel pink linen cotton saree, featuring delicate multicolor floral prints, a fresh green woven border with tassels, and a matching designer blouse piece — perfect for festive, casual, or office wear.","Elevate your wardrobe with the Graceful Linen Cotton Saree, designed for comfort and timeless style. Crafted from breathable linen cotton, this saree showcases a soft pastel pink base adorned with delicate multicolor floral motifs that bring a subtle, refreshing charm.",,,taxable,,1,100,,0,0,,,,,1,,1050,1999,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/1996/r79s4v.jpg, https://imagizer.imageshack.com/img922/2892/c1Yfa1.jpg, https://imagizer.imageshack.com/img924/851/15DdN6.jpg, https://imagizer.imageshack.com/img924/9694/oY81Iq.jpg, https://imagizer.imageshack.com/img924/3053/AHGgyx.jpg, https://imagizer.imageshack.com/img922/6799/RTKGOx.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-113,,"Royal Mauve Banarasi Silk Saree with Golden Zari & Peacock Pallu | Wedding, Festive & Traditional Wear",1,0,visible,"Embrace soft elegance with this pastel pink linen cotton saree, featuring delicate multicolor floral prints, a fresh green woven border with tassels, and a matching designer blouse piece — perfect for festive, casual, or office wear.","Elevate your wardrobe with the Graceful Linen Cotton Saree, designed for comfort and timeless style. Crafted from breathable linen cotton, this saree showcases a soft pastel pink base adorned with delicate multicolor floral motifs that bring a subtle, refreshing charm.",,,taxable,,1,100,,0,0,,,,,1,,1050,1999,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img922/2374/6kuHLt.jpg, https://imagizer.imageshack.com/img922/3111/lOi7ij.jpg, https://imagizer.imageshack.com/img924/5351/9atK00.jpg, https://imagizer.imageshack.com/img922/8684/FFQDbK.jpg, https://imagizer.imageshack.com/img923/2268/NTZUm1.jpg, https://imagizer.imageshack.com/img924/1361/apUXVt.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-114,,Elegant Grey-Blue Linen Cotton Saree with Bold Pink Floral Prints & Checked Tassel Border,1,0,visible,"Gracefully stylish, this grey-blue linen cotton saree features striking pink floral prints, a checked woven border with turquoise tassels, and a matching designer blouse piece — perfect for festive, casual, or office wear.","Elevate your ethnic wardrobe with the Elegant Grey-Blue Linen Cotton Saree, combining comfort, breathability, and modern charm. Crafted from soft linen cotton, the saree showcases a soothing grey-blue base adorned with bold pink floral prints that add a vibrant yet graceful touch.",,,taxable,,1,100,,0,0,,,,,1,,1050,1999,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/8792/Mf83q6.jpg, https://imagizer.imageshack.com/img922/4711/aSbcce.jpg, https://imagizer.imageshack.com/img923/2149/EFy3c2.jpg, https://imagizer.imageshack.com/img924/9941/JJyj25.jpg, https://imagizer.imageshack.com/img924/4674/tqzPRa.jpg, https://imagizer.imageshack.com/img923/826/tHWJoG.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-115,,Soft Grey Linen Cotton Saree with Purple Floral Prints & Striped Tassel Border,1,0,visible,"Delight in effortless elegance with this soft grey linen cotton saree, featuring vibrant purple floral prints, a striped woven border with bright pink tassels, and a matching designer blouse piece — perfect for festive, casual, or office wear.","Step into subtle sophistication with the Soft Grey Linen Cotton Saree, designed to blend comfort, style, and modern charm. Made from breathable linen cotton, this saree ensures a lightweight, easy drape for all-day wear. The soft grey base is adorned with vibrant purple floral prints, creating a refreshing and elegant look suitable for any occasion.",,,taxable,,1,100,,0,0,,,,,1,,1050,1999,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/8105/ajGwRO.jpg, https://imagizer.imageshack.com/img922/1460/T0tWvU.jpg, https://imagizer.imageshack.com/img922/5615/HwRTgv.jpg, https://imagizer.imageshack.com/img923/9307/BuzeVb.jpg, https://imagizer.imageshack.com/img924/2047/XyLNQu.jpg, https://imagizer.imageshack.com/img924/4643/1jwhHw.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-116,,Pastel Multi-Tone Linen Cotton Saree with Artistic Floral Prints & Violet Tassel Border,1,0,visible,"Elevate your everyday elegance with this pastel linen cotton saree, featuring lavender, cream, and blush hues, artistic floral prints, a woven violet border with pink tassels, and a matching blouse piece — perfect for festive, casual, or office wear.","Step into a world of subtle charm with the Pastel Multi-Tone Linen Cotton Saree, a graceful blend of soft lavender, cream, and blush tones. Crafted from breathable linen cotton, it ensures all-day comfort without compromising style. The artistic floral prints create a modern, elegant appeal suitable for festive gatherings, casual outings, or office wear.",,,taxable,,1,100,,0,0,,,,,1,,1050,1999,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img922/1236/BetJfo.jpg, https://imagizer.imageshack.com/img922/8026/Th2IYp.jpg, https://imagizer.imageshack.com/img924/4350/3YOSuV.jpg, https://imagizer.imageshack.com/img924/139/tzB6CK.jpg, https://imagizer.imageshack.com/img924/9913/1fNetQ.jpg, https://imagizer.imageshack.com/img924/2849/YTEhNn.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-117,,Elegant Steel Blue Linen Cotton Saree with Pastel Floral Prints & Tassel Border,1,0,visible,"Graceful and breathable, this steel blue linen cotton saree features soft pastel floral prints, a matching woven blue tassel border, and a coordinating blouse piece — perfect for festive, casual, or office wear.","Step into effortless charm with the Elegant Steel Blue Linen Cotton Saree. Crafted from soft, breathable linen cotton, this saree combines comfort with a refined, timeless appeal. The pastel-hued floral prints scattered across the steel blue base create a soft, feminine, and elegant look suitable for festive gatherings, office days, or casual outings.",,,taxable,,1,100,,0,0,,,,,1,,1050,1999,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/3158/6srvsc.jpg, https://imagizer.imageshack.com/img923/103/vU2Aoz.jpg, https://imagizer.imageshack.com/img923/5223/8zpGKO.jpg, https://imagizer.imageshack.com/img922/5260/GbIXcM.jpg, https://imagizer.imageshack.com/img923/4469/VXt0fc.jpg, https://imagizer.imageshack.com/img923/4807/4iGo6J.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-118,,Soft Pink Linen Cotton Saree with Pastel Floral Prints & Navy Tassel Border,1,0,visible,"Delicate and graceful, this soft pink linen cotton saree features pastel floral prints, a navy striped woven border with pink tassels, and a matching blouse piece — perfect for festive, casual, or office wear.","Embrace effortless elegance with the Soft Pink Linen Cotton Saree, designed to blend comfort with timeless charm. Crafted from breathable linen cotton, this saree drapes beautifully and ensures all-day ease. The soft pink base is adorned with delicate floral prints in subtle shades of purple and green, creating a romantic and sophisticated appeal.",,,taxable,,1,100,,0,0,,,,,1,,1050,1999,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img922/9351/RFnCmT.jpg, https://imagizer.imageshack.com/img924/8583/l8xLiK.jpg, https://imagizer.imageshack.com/img924/6608/AIGZmy.jpg, https://imagizer.imageshack.com/img923/2127/1cZ4Sp.jpg, https://imagizer.imageshack.com/img924/3711/5f4L2C.jpg, https://imagizer.imageshack.com/img922/5272/czFWqf.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-119,,Peach Linen Cotton Saree with Vibrant Floral Prints & Striped Tassel Border,1,0,visible,"Bright and cheerful, this peach linen cotton saree features bold floral prints, a navy-grey striped border with black tassels, and a matching blouse piece — perfect for festive, casual, or office wear.","Step into effortless charm with the Peach Linen Cotton Saree, designed for both style and comfort. Crafted from soft and breathable linen cotton, this saree drapes elegantly for all-day wear. The peach base is adorned with bold floral prints in lively shades of pink, red, and yellow, creating a vibrant and eye-catching look.",,,taxable,,1,100,,0,0,,,,,1,,1050,1999,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/9787/2frrZa.jpg, https://imagizer.imageshack.com/img923/4500/HEQ1Ty.jpg, https://imagizer.imageshack.com/img924/7734/AHjmte.jpg, https://imagizer.imageshack.com/img922/4170/PdW6ND.jpg, https://imagizer.imageshack.com/img924/8463/yDHvm5.jpg, https://imagizer.imageshack.com/img922/4625/b5irIE.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-120,,Sky Blue Linen Cotton Saree with Pastel Floral Prints & Pink Tassel Border,1,0,visible,"Fresh and elegant, this sky blue linen cotton saree features delicate pastel floral prints, a contrasting pink tassel border, and a matching blouse piece — perfect for casual, office, or light festive wear.","Infuse your wardrobe with subtle charm and breezy elegance with the Sky Blue Linen Cotton Saree. Crafted from soft and breathable linen cotton, this saree ensures comfort for all-day wear while offering a graceful drape. The sky blue base is adorned with delicate pastel floral prints in soothing shades of pink, orange, and teal, creating a gentle yet vibrant aesthetic.",,,taxable,,1,100,,0,0,,,,,1,,1050,1999,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img923/5505/dqT2fM.jpg, https://imagizer.imageshack.com/img923/6478/Rw2atH.jpg, https://imagizer.imageshack.com/img922/2876/O6Nfi7.jpg, https://imagizer.imageshack.com/img923/5940/h4qU0i.jpg, https://imagizer.imageshack.com/img924/6262/VtBZK0.jpg, https://imagizer.imageshack.com/img924/7271/stoqZ8.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,GG-121,,Teal Green Linen Cotton Saree with Watercolor Floral Prints & Deep Green Tassel Border,1,0,visible,"Elegant and breezy, this teal green linen cotton saree features soft watercolor floral prints, a deep green woven border with tassels, and a matching blouse piece — perfect for casual, office, or light festive wear.","Elevate your everyday style with the Teal Green Linen Cotton Saree, designed for effortless charm and comfort. Crafted from breathable linen cotton, this saree drapes gracefully while keeping you comfortable throughout the day. Its rich teal base is adorned with delicate watercolor-style floral prints in soft shades of peach, cream, and yellow, offering a fresh and artistic appeal.",,,taxable,,1,100,,0,0,,,,,1,,1050,1999,Gopi Silk Saree,,,"https://imagizer.imageshack.com/img924/5258/UxVix9.jpg, https://imagizer.imageshack.com/img923/2993/KdRuAa.jpg, https://imagizer.imageshack.com/img923/5660/62Gy2T.jpg, https://imagizer.imageshack.com/img924/3706/aIvjOu.jpg, https://imagizer.imageshack.com/img923/9273/DSUOB0.jpg, https://imagizer.imageshack.com/img923/310/YhxpcN.jpg",,,,,,,,,0,,,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
